thr,N,M,time,K
4,150,15,0.000499,244
4,150,15,0.000622541,215
4,150,15,0.00069675,236
4,150,15,0.000514875,382
4,150,15,0.00049775,308
4,150,15,0.000565333,235
4,150,15,0.000766541,238
4,150,15,0.000610209,262
4,150,15,0.000499,285
4,150,15,0.00122204,360
4,150,15,0.000573041,284
4,150,15,0.000634834,246
4,150,15,0.000512083,231
4,150,15,0.00123292,385
4,150,15,0.000644375,282
4,150,15,0.000580917,266
4,150,15,0.000517625,312
4,150,15,0.000777042,266
4,150,15,0.000585708,304
4,150,15,0.00122988,282
4,150,15,0.000890792,203
4,150,15,0.000576625,174
4,150,15,0.000562333,423
4,150,15,0.00144558,276
4,150,15,0.000773292,272
4,150,15,0.000648083,254
4,150,15,0.000641084,214
4,150,15,0.00076975,247
4,150,15,0.000519208,235
4,150,15,0.000520708,317
4,150,15,0.000574459,412
4,150,15,0.000964291,263
4,150,15,0.000769292,216
4,150,15,0.000765458,255
4,150,15,0.000626709,279
4,150,15,0.00088275,261
4,150,15,0.000703584,336
4,150,15,0.00077175,308
4,150,15,0.000606542,325
4,150,15,0.000517166,291
4,150,15,0.00049375,345
4,150,15,0.000551833,253
4,150,15,0.000887417,289
4,150,15,0.000572875,187
4,150,15,0.000568834,232
4,150,15,0.000578125,258
4,150,15,0.000590209,262
4,150,15,0.00076,355
4,150,15,0.0005715,382
4,150,15,0.000756916,259
4,150,15,0.00102692,211
4,150,15,0.000785875,244
4,150,15,0.000501166,300
4,150,15,0.0005125,273
4,150,15,0.000866084,314
4,150,15,0.000707542,353
4,150,15,0.000661167,204
4,150,15,0.000505333,296
4,150,15,0.00122075,370
4,150,15,0.000509792,276
4,150,15,0.000628417,297
4,150,15,0.000636083,312
4,150,15,0.00075825,224
4,150,15,0.00183783,374
4,150,15,0.000914542,179
4,150,15,0.000574542,269
4,150,15,0.000571208,276
4,150,15,0.000497375,221
4,150,15,0.001275,327
4,150,15,0.00114679,359
4,150,15,0.00083475,295
4,150,15,0.000756583,237
4,150,15,0.000507167,222
4,150,15,0.000759417,260
4,150,15,0.000708,250
4,150,15,0.000517084,307
4,150,15,0.000495167,459
4,150,15,0.0010495,270
4,150,15,0.000778875,228
4,150,15,0.000562042,369
4,150,15,0.000700167,348
4,150,15,0.000696041,225
4,150,15,0.00100908,273
4,150,15,0.00149471,261
4,150,15,0.000768416,346
4,150,15,0.000516125,192
4,150,15,0.000646792,286
4,150,15,0.00116271,358
4,150,15,0.000768167,229
4,150,15,0.00102863,315
4,150,15,0.000721084,234
4,150,15,0.000514417,320
4,150,15,0.000562292,208
4,150,15,0.000518875,243
4,150,15,0.000512125,309
4,150,15,0.000572,221
4,150,15,0.000965125,223
4,150,15,0.00100113,262
4,150,15,0.000731792,233
4,150,15,0.000602084,208
4,150,15,0.000700708,288
4,150,15,0.000563834,195
4,150,15,0.000511916,307
4,150,15,0.00131604,238
4,150,15,0.00164842,198
4,150,15,0.00144238,259
4,150,15,0.000648166,243
4,150,15,0.000689667,185
4,150,15,0.000577125,326
4,150,15,0.000696916,267
4,150,15,0.00166354,274
4,150,15,0.0009015,234
4,150,15,0.000698583,254
4,150,15,0.000956416,344
4,150,15,0.000493,324
4,150,15,0.00153925,196
4,150,15,0.000506417,271
